wbgene,public_name,seqname,score,score_var,rank_score,rank_var,has_symbol,go_annotated,category,soo_bound_published,isp1_upregulated
WBGene00015573,C07G1.7,C07G1.7,218882.35547148553,37.700042770962035,1,1,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00009038,F22B3.7,F22B3.7,194176.44811129465,14.41725852137972,2,32,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00011009,cyp-14A4,R04D3.1,17601.7014401757,12.860306529297967,3,37,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00008477,clec-17,E03H4.10,17083.876302493776,12.051701127914512,4,40,True,False,Uncharacterised (no GO annotation),No,Yes
WBGene00010127,F55G11.7,F55G11.7,4880.7999804484,9.603449116434229,5,52,False,True,Innate immunity,No,Yes
WBGene00018267,F41C3.1,F41C3.1,3539.8629369494533,20.506806582045584,6,15,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00008816,F14F8.8,F14F8.8,3277.781246752919,11.995962605280655,7,41,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00011305,hrg-9,R186.1,3020.754386580982,28.41459607812172,8,2,True,True,Other annotated function,No,Yes
WBGene00010273,srm-3,F58G6.2,2954.3498370668012,23.580260578365966,9,12,True,False,Uncharacterised (no GO annotation),No,Yes
WBGene00019967,cyp-33C8,R08F11.3,2628.6038637275083,24.088827889336205,10,9,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00008296,cdr-2,C54D10.1,2477.091742920949,26.234182136555717,11,5,True,False,Uncharacterised (no GO annotation),Yes,Yes
WBGene00010705,cyp-14A1,K09A11.2,2383.9494322159944,24.799814568226456,12,6,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00019515,ugt-19,K08B4.3,1991.9903621570058,24.61577797787094,13,7,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00007691,cest-8,C23H4.2,1988.247452092447,16.105028595442462,14,27,True,True,Other annotated function,No,Yes
WBGene00016923,C54F6.5,C54F6.5,1879.6835426714624,6.191367516274767,15,61,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00004932,sod-3,C08A9.1,1554.0438904945731,17.803107235972707,16,22,True,True,Other annotated function,No,Yes
WBGene00010904,ugt-62,M88.1,1456.69235349996,17.127454031033718,17,24,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00010215,nhr-193,F57G8.6,1137.6491534504348,17.073891790562907,18,25,True,True,Other annotated function,Yes,Yes
WBGene00003705,nhr-115,T27B7.4,942.6880635731956,14.078595816603281,19,34,True,True,Innate immunity,No,Yes
WBGene00017082,DC2.5,DC2.5,936.7927179954397,23.502376592814972,20,13,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00018206,ugt-61,F39G3.1,881.1365648984943,19.111361759200324,21,19,True,True,Xenobiotic detoxification,Yes,Yes
WBGene00012583,clec-4,Y38E10A.5,839.3680481389376,9.855917325196332,22,48,True,True,Other annotated function,No,Yes
WBGene00018955,F56C11.3,F56C11.3,775.7857668827784,23.86772430948787,23,10,False,True,Other annotated function,No,Yes
WBGene00003091,lys-2,Y22F5A.5,755.1164144845119,12.319607175598685,24,39,True,True,Innate immunity,No,Yes
