wbgene,seqname,public_name,role,pfam_families,in_61_regulon
WBGene00008591,F08H9.3,F08H9.3,chaperone,HSP20,False
WBGene00008592,F08H9.4,F08H9.4,chaperone,HSP20,False
WBGene00008714,F11F1.1,F11F1.1,chaperone,HSP70,False
WBGene00009691,F44E5.4,F44E5.4,chaperone,HSP70,False
WBGene00009692,F44E5.5,F44E5.5,chaperone,HSP70,False
WBGene00010640,K07F5.16,K07F5.16,chaperone,DnaJ,False
WBGene00021615,Y47C4A.1,Y47C4A.1,protease,Peptidase_M41,False
WBGene00021943,Y55F3BR.6,Y55F3BR.6,chaperone,HSP20,False
WBGene00014233,ZK1128.7,ZK1128.7,chaperone,HSP20,False
WBGene00000377,T05C12.7,cct-1,chaperone,Cpn60_TCP1,False
WBGene00000378,T21B10.7,cct-2,chaperone,Cpn60_TCP1,False
WBGene00018782,F54A3.3,cct-3,chaperone,Cpn60_TCP1,False
WBGene00000379,K01C8.10,cct-4,chaperone,Cpn60_TCP1,False
WBGene00000380,C07G2.3,cct-5,chaperone,Cpn60_TCP1,False
WBGene00000381,F01F1.8,cct-6,chaperone,Cpn60_TCP1,False
WBGene00020391,T10B5.5,cct-7,chaperone,Cpn60_TCP1,False
WBGene00021934,Y55F3AR.3,cct-8,chaperone,Cpn60_TCP1,False
WBGene00014172,ZK970.2,clpp-1,protease,CLP_protease,False
WBGene00001019,B0035.14,dnj-1,chaperone,DnaJ,False
WBGene00001028,F22B7.5,dnj-10,chaperone,DnaJ,True
WBGene00001029,F38A5.13,dnj-11,chaperone,DnaJ,False
WBGene00001030,F39B2.10,dnj-12,chaperone,DnaJ,False
WBGene00001031,F54D5.8,dnj-13,chaperone,DnaJ,False
WBGene00001032,K02G10.8,dnj-14,chaperone,DnaJ,False
WBGene00001033,K08D10.2,dnj-15,chaperone,DnaJ,False
WBGene00001034,R74.4,dnj-16,chaperone,DnaJ,False
WBGene00001035,T03F6.2,dnj-17,chaperone,DnaJ,False
WBGene00001036,T04A8.9,dnj-18,chaperone,DnaJ,False
WBGene00001037,T05C3.5,dnj-19,chaperone,DnaJ,False
WBGene00001040,T23B12.7,dnj-22,chaperone,DnaJ,False
WBGene00001041,T24H10.3,dnj-23,chaperone,DnaJ,False
WBGene00001042,W03A5.7,dnj-24,chaperone,DnaJ,False
WBGene00001043,W07A8.3,dnj-25,chaperone,DnaJ,False
WBGene00001044,Y39C12A.8,dnj-26,chaperone,DnaJ,False
WBGene00001047,Y63D3A.6,dnj-29,chaperone,DnaJ,False
WBGene00001021,C01G10.12,dnj-3,chaperone,DnaJ,False
WBGene00001048,Y71F9B.16,dnj-30,chaperone,DnaJ,False
WBGene00001022,C01G8.4,dnj-4,chaperone,DnaJ,False
WBGene00001023,C04A2.7,dnj-5,chaperone,DnaJ,False
WBGene00001027,F11G11.7,dnj-9,chaperone,DnaJ,False
WBGene00002005,F26D10.3,hsp-1,chaperone,HSP70,False
WBGene00016250,C30C11.4,hsp-110,chaperone,HSP70,False
WBGene00011906,T22A3.2,hsp-12.1,chaperone,HSP20,False
WBGene00002011,C14B9.1,hsp-12.2,chaperone,HSP20,False
WBGene00002012,F38E11.1,hsp-12.3,chaperone,HSP20,False
WBGene00002013,F38E11.2,hsp-12.6,chaperone,HSP20,False
WBGene00002015,T27E4.8,hsp-16.1,chaperone,HSP20,False
WBGene00002017,T27E4.2,hsp-16.11,chaperone,HSP20,False
WBGene00002016,Y46H3A.3,hsp-16.2,chaperone,HSP20,False
WBGene00002018,Y46H3A.2,hsp-16.41,chaperone,HSP20,False
WBGene00002019,T27E4.3,hsp-16.48,chaperone,HSP20,False
WBGene00002020,T27E4.9,hsp-16.49,chaperone,HSP20,False
WBGene00002021,F52E1.7,hsp-17,chaperone,HSP20,False
WBGene00002023,C09B8.6,hsp-25,chaperone,HSP20,False
WBGene00002024,C14F11.5,hsp-43,chaperone,HSP20,False
WBGene00002010,C37H5.8,hsp-6,chaperone,HSP70,False
WBGene00002025,Y22D7AL.5,hsp-60,chaperone,Cpn60_TCP1,False
WBGene00002026,C12C8.1,hsp-70,chaperone,HSP70,False
WBGene00020110,R151.7,hsp-75,chaperone,HSP90,False
WBGene00000915,C47E8.5,hsp-90,chaperone,HSP90,False
WBGene00016391,C34B2.6,lonp-1,protease,"LON_substr_bdg,Lon_C",False
WBGene00013541,Y75B8A.4,lonp-2,protease,"LON_substr_bdg,Lon_C",False
WBGene00007443,C08F8.1,pfd-1,chaperone,Prefoldin,False
WBGene00019220,H20J04.5,pfd-2,chaperone,Prefoldin,False
WBGene00006889,T06G6.9,pfd-3,chaperone,Prefoldin (manual add - no Pfam hit in this release; canonical complex member),False
WBGene00007107,B0035.4,pfd-4,chaperone,Prefoldin,False
WBGene00020112,R151.9,pfd-5,chaperone,Prefoldin (manual add - no Pfam hit in this release; canonical complex member),False
WBGene00009004,F21C3.5,pfd-6,chaperone,Prefoldin,False
WBGene00021425,Y38F2AR.7,ppgn-1,protease,Peptidase_M41,False
WBGene00004798,F43D9.4,sip-1,chaperone,HSP20,False
WBGene00004978,Y47G6A.10,spg-7,protease,Peptidase_M41,False
WBGene00010842,M03C11.5,ymel-1,protease,Peptidase_M41,True
